H_agua(min), H_relativa(max), voltaje, medición, H_suelo
1.08, 2.54, 4.00, 2.54, 0.25
1.08, 2.54, 4.00, 2.54, 0.20
1.08, 2.54, 4.00, 2.54, 0.17
1.08, 2.54, 4.00, 2.54, 0.17
1.08, 2.54, 4.00, 2.54, 0.17
1.08, 2.54, 4.00, 2.54, 0.17
1.08, 2.54, 4.00, 2.54, 0.18
1.08, 2.54, 4.00, 2.54, 0.17
1.08, 2.54, 4.00, 2.54, 0.16
1.08, 2.54, 4.00, 2.54, 0.16
1.08, 2.54, 4.00, 2.54, 0.15
1.08, 2.54, 4.00, 2.54, 0.14
1.08, 2.54, 4.00, 2.54, 0.16
1.08, 2.54, 4.00, 2.50, 2.58
1.08, 2.54, 4.00, 2.37, 11.67
1.08, 2.54, 4.00, 2.25, 20.05
1.08, 2.54, 4.00, 2.06, 32.96
1.08, 2.54, 4.00, 1.99, 37.96
1.08, 2.54, 4.00, 1.98, 38.17
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.18
1.08, 2.54, 4.00, 1.98, 38.18
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.22
1.08, 2.54, 4.00, 1.98, 38.22
1.08, 2.54, 4.00, 1.98, 38.22
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.26
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.25
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.24
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.23
1.08, 2.54, 4.00, 1.98, 38.22
1.08, 2.54, 4.00, 1.98, 38.22
1.08, 2.54, 4.00, 1.98, 38.22
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.21
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.20
1.08, 2.54, 4.00, 1.98, 38.19
1.08, 2.54, 4.00, 1.98, 38.19
1.08, 2.54, 4.00, 1.98, 38.19
1.08, 2.54, 4.00, 1.98, 38.19
1.08, 2.54, 4.00, 1.98, 38.19
1.08, 2.54, 4.00, 1.98, 38.19
1.08, 2.54, 4.00, 1.98, 38.18
1.08, 2.54, 4.00, 1.98, 38.18
1.08, 2.54, 4.00, 1.98, 38.18
1.08, 2.54, 4.00, 1.98, 38.17
1.08, 2.54, 4.00, 1.98, 38.17
1.08, 2.54, 4.00, 1.98, 38.17
1.08, 2.54, 4.00, 1.98, 38.17
1.08, 2.54, 4.00, 1.98, 38.17
1.08, 2.54, 4.00, 1.98, 38.16
1.08, 2.54, 4.00, 1.98, 38.16
1.08, 2.54, 4.00, 1.98, 38.15
1.08, 2.54, 4.00, 1.98, 38.16
1.08, 2.54, 4.00, 1.98, 38.15
1.08, 2.54, 4.00, 1.98, 38.16
1.08, 2.54, 4.00, 1.98, 38.15
1.08, 2.54, 4.00, 1.98, 38.15
1.08, 2.54, 4.00, 1.98, 38.15
1.08, 2.54, 4.00, 1.98, 38.14
1.08, 2.54, 4.00, 1.98, 38.14
1.08, 2.54, 4.00, 1.98, 38.14
1.08, 2.54, 4.00, 1.98, 38.14
1.08, 2.54, 4.00, 1.98, 38.13
1.08, 2.54, 4.00, 1.98, 38.13
1.08, 2.54, 4.00, 1.98, 38.13
1.08, 2.54, 4.00, 1.98, 38.12
1.08, 2.54, 4.00, 1.98, 38.13
1.08, 2.54, 4.00, 1.98, 38.12
1.08, 2.54, 4.00, 1.98, 38.12
1.08, 2.54, 4.00, 1.98, 38.12
1.08, 2.54, 4.00, 1.98, 38.12
1.08, 2.54, 4.00, 1.98, 38.12
1.08, 2.54, 4.00, 1.98, 38.11
1.08, 2.54, 4.00, 1.98, 38.11
1.08, 2.54, 4.00, 1.98, 38.11
1.08, 2.54, 4.00, 1.98, 38.10
1.08, 2.54, 4.00, 1.98, 38.11
1.08, 2.54, 4.00, 1.98, 38.11
